Competition,Week,Team,Win,P1,P2,P3,P4,P5,Lineup,PTS_For,PTS_Agn,+/-,FTM_For,FTA_For,FTM_Agn,FTA_Agn,FOULS_Committed,FOULS_Drawn,TOV_For,TOunf_For,STL_For,BLK_For,TOV_Agn,TOunf_Agn,STL_Agn,BLK_Agn,Rim_FGM_For,Rim_FGA_For,Rim%_For,Rim_FGM_Agn,Rim_FGA_Agn,Rim%_Agn,Paint_FGM_For,Paint_FGA_For,Paint%_For,Paint_FGM_Agn,Paint_FGA_Agn,Paint%_Agn,MR_FGM_For,MR_FGA_For,MR%_For,MR_FGM_Agn,MR_FGA_Agn,MR%_Agn,Cor3_FGM_For,Cor3_FGA_For,Cor3%_For,Cor3_FGM_Agn,Cor3_FGA_Agn,Cor3%_Agn,ATB3_FGM_For,ATB3_FGA_For,ATB3%_For,ATB3_FGM_Agn,ATB3_FGA_Agn,ATB3%_Agn,OREB_For,DREB_For,AST_For,OREB_Agn,DREB_Agn,AST_Agn,Rival
Amistós,1,CB Argentona,1,P. Peiró,M. Martori,X. Blanco,I. Santos,P. Villagrasa,"PAU PEIRÓ (24), MARTÍ MARTORI (9), XAVI BLANCO (8), IZAN SANTOS (16), POL VILLAGRASA (23)",23,18,5,3,4,3,5,6,3,4,0,7,0,7,2,4,0,6,9,67%,2,4,50%,0,0,0%,1,2,50%,0,0,0%,0,0,0%,2,3,67%,1,1,100%,1,3,33%,2,6,33%,2,5,6,3,5,0,CB BARBERÀ
Amistós,1,CB Argentona,1,P. Peiró,M. Martori,X. Blanco,À. López,I. Santos,"PAU PEIRÓ (24), MARTÍ MARTORI (9), XAVI BLANCO (8), ÀLEX LÓPEZ (13), IZAN SANTOS (16)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0%,0,0,0%,0,0,0%,0,1,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,1,0%,0,1,0,1,1,0,CB BARBERÀ
Amistós,1,CB Argentona,1,I. Jarque,M. Martori,X. Blanco,À. López,I. Santos,"IÑAKI JARQUE (7), MARTÍ MARTORI (9), XAVI BLANCO (8), ÀLEX LÓPEZ (13), IZAN SANTOS (16)",5,0,5,0,0,0,0,2,0,0,0,0,1,2,2,0,0,1,2,50%,0,2,0%,0,0,0%,0,0,0%,0,1,0%,0,0,0%,1,1,100%,0,0,0%,0,0,0%,0,2,0%,0,2,2,1,2,0,CB BARBERÀ
Amistós,1,CB Argentona,1,I. Jarque,M. Martori,V. Jarque,À. López,A. Holguin,"IÑAKI JARQUE (7), MARTÍ MARTORI (9), VÍCTOR JARQUE (18), ÀLEX LÓPEZ (13), ARMANDO HOLGUIN (35)",3,6,-3,1,2,0,0,0,1,1,0,0,0,0,0,1,0,1,2,50%,2,2,100%,0,0,0%,0,0,0%,0,1,0%,1,1,100%,0,1,0%,0,0,0%,0,0,0%,0,1,0%,2,2,0,0,2,0,CB BARBERÀ
Amistós,1,CB Argentona,1,I. Jarque,X. Blanco,V. Jarque,À. López,A. Holguin,"IÑAKI JARQUE (7), XAVI BLANCO (8), VÍCTOR JARQUE (18), ÀLEX LÓPEZ (13), ARMANDO HOLGUIN (35)",3,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,1,1,100%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,CB BARBERÀ
Amistós,1,CB Argentona,1,I. Jarque,X. Blanco,V. Jarque,À. López,B. Font,"IÑAKI JARQUE (7), XAVI BLANCO (8), VÍCTOR JARQUE (18), ÀLEX LÓPEZ (13), BIEL FONT (11)",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,1,0%,0,0,0,1,0,0,CB BARBERÀ
Amistós,1,CB Argentona,1,I. Jarque,X. Blanco,P. Villagrasa,À. López,B. Font,"IÑAKI JARQUE (7), XAVI BLANCO (8), POL VILLAGRASA (23), ÀLEX LÓPEZ (13), BIEL FONT (11)",1,5,-4,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,1,1,100%,0,0,0%,0,0,0%,0,0,0,0,1,0,CB BARBERÀ
Amistós,1,CB Argentona,1,I. Jarque,X. Blanco,P. Villagrasa,V. Domingo,B. Font,"IÑAKI JARQUE (7), XAVI BLANCO (8), POL VILLAGRASA (23), VÍCTOR DOMINGO (17), BIEL FONT (11)",3,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0%,1,1,100%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,1,1,100%,0,0,0%,0,0,0,0,0,0,CB BARBERÀ
Amistós,1,CB Argentona,1,P. Peiró,X. Blanco,P. Villagrasa,V. Domingo,B. Font,"PAU PEIRÓ (24), XAVI BLANCO (8), POL VILLAGRASA (23), VÍCTOR DOMINGO (17), BIEL FONT (11)",2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,100%,0,2,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,1,1,1,0,0,CB BARBERÀ
Amistós,1,CB Argentona,1,V. Domingo,X. Blanco,P. Villagrasa,P. Peiró,I. Santos,"VÍCTOR DOMINGO (17), XAVI BLANCO (8), POL VILLAGRASA (23), PAU PEIRÓ (24), IZAN SANTOS (16)",4,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,100%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,1,1,100%,0,0,0%,0,0,0%,0,0,2,0,0,0,CB BARBERÀ
Amistós,1,CB Argentona,1,V. Domingo,M. Martori,P. Villagrasa,P. Peiró,I. Santos,"VÍCTOR DOMINGO (17), MARTÍ MARTORI (9), POL VILLAGRASA (23), PAU PEIRÓ (24), IZAN SANTOS (16)",2,4,-2,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0%,1,1,100%,0,0,0%,0,0,0%,1,1,100%,1,1,100%,0,0,0%,0,0,0%,0,0,0%,0,1,0%,0,1,0,0,2,0,CB BARBERÀ
