Competition	Week	Team	Win	P1	P2	P3	P4	P5	Lineup	PTS_For	PTS_Agn	+/-	FTM_For	FTA_For	FTM_Agn	FTA_Agn	FOULS_Committed	FOULS_Drawn	TOV_For	TOunf_For	STL_For	BLK_For	TOV_Agn	TOunf_Agn	STL_Agn	BLK_Agn	Rim_FGM_For	Rim_FGA_For	Rim%_For	Rim_FGM_Agn	Rim_FGA_Agn	Rim%_Agn	Paint_FGM_For	Paint_FGA_For	Paint%_For	Paint_FGM_Agn	Paint_FGA_Agn	Paint%_Agn	MR_FGM_For	MR_FGA_For	MR%_For	MR_FGM_Agn	MR_FGA_Agn	MR%_Agn	Cor3_FGM_For	Cor3_FGA_For	Cor3%_For	Cor3_FGM_Agn	Cor3_FGA_Agn	Cor3%_Agn	ATB3_FGM_For	ATB3_FGA_For	ATB3%_For	ATB3_FGM_Agn	ATB3_FGA_Agn	ATB3%_Agn	OREB_For	DREB_For	AST_For	OREB_Agn	DREB_Agn	AST_Agn	Rival
Amistós	4	CB ARGENTONA	0	V. DOMINGO	I. JARQUE	B. FONT	À. LÓPEZ	P. PEIRÓ	"VÍCTOR DOMINGO (1), IÑAKI JARQUE (7), BIEL FONT (11), ÀLEX LÓPEZ (13), PAU PEIRÓ (24)"	11	5	6	1	2	0	0	4	1	2	0	2	2	2	0	2	0	2	3	0,6666666667	1	3	0,3333333333	0	0	0	0	0	0	0	1	0,0000000000	0	1	0,0000000000	0	0	0	0	1	0,0000000000	2	4	0,5000000000	1	2	0,5000000000	2	4	2	1	2	0	SANT GERVASI
Amistós	4	CB ARGENTONA	0	I. JARQUE	B. FONT	À. LÓPEZ	P. VILLAGRASA	A. BASTERRA	"IÑAKI JARQUE (7), BIEL FONT (11), ÀLEX LÓPEZ (13), POL VILLAGRASA (23), AITOR BASTERRA (32)"	0	0	0	0	0	0	0	0	0	2	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0,0000000000	0	1	0	0	0	0	SANT GERVASI
Amistós	4	CB ARGENTONA	0	X. BLANCO	À. LÓPEZ	P. VILLAGRASA	A. BASTERRA	A. JOSÉ HELGUIN	"XAVI BLANCO (8), ÀLEX LÓPEZ (13), POL VILLAGRASA (23), AITOR BASTERRA (32), ARMANDO JOSÉ HELGUIN (35)"	6	10	-4	1	2	5	6	3	1	3	0	1	0	2	1	3	0	1	3	0,3333333333	1	1	1,0000000000	0	1	0,0000000000	0	0	0	0	0	0	0	0	0	1	2	0,5000000000	0	1	0,0000000000	0	0	0	1	1	1,0000000000	1	2	2	0	4	0	SANT GERVASI
Amistós	4	CB ARGENTONA	0	X. BLANCO	P. VILLAGRASA	P. PEIRÓ	A. BASTERRA	A. JOSÉ HELGUIN	"XAVI BLANCO (8), POL VILLAGRASA (23), PAU PEIRÓ (24), AITOR BASTERRA (32), ARMANDO JOSÉ HELGUIN (35)"	0	4	-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1,0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SANT GERVASI
Amistós	4	CB ARGENTONA	0	X. BLANCO	A. TENA	P. PEIRÓ	A. BASTERRA	A. JOSÉ HELGUIN	"XAVI BLANCO (8), ADRIÀ TENA (15), PAU PEIRÓ (24), AITOR BASTERRA (32), ARMANDO JOSÉ HELGUIN (35)"	0	1	-1	0	2	1	2	1	1	2	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	SANT GERVASI
Amistós	4	CB ARGENTONA	0	X. BLANCO	M. MARTORI	B. FONT	A. TENA	P. PEIRÓ	"XAVI BLANCO (8), MARTÍ MARTORI (9), BIEL FONT (11), ADRIÀ TENA (15), PAU PEIRÓ (24)"	2	0	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	1	1	1,0000000000	0	0	0	0	1	0,0000000000	0	1	0,0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0,0000000000	0	2	0	0	1	0	SANT GERVASI
Amistós	4	CB ARGENTONA	0	V. DOMINGO	M. MARTORI	B. FONT	A. TENA	P. PEIRÓ	"VÍCTOR DOMINGO (1), MARTÍ MARTORI (9), BIEL FONT (11), ADRIÀ TENA (15), PAU PEIRÓ (24)"	2	6	-4	2	2	4	8	4	2	0	0	0	0	0	0	0	0	0	3	0,0000000000	1	2	0,5000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0,0000000000	0	3	0,0000000000	0	0	0	2	2	0	1	4	0	SANT GERVASI
Amistós	4	CB ARGENTONA	0	I. JARQUE	M. MARTORI	B. FONT	A. TENA	P. PEIRÓ	"IÑAKI JARQUE (7), MARTÍ MARTORI (9), BIEL FONT (11), ADRIÀ TENA (15), PAU PEIRÓ (24)"	0	0	0	0	2	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0,0000000000	0	1	0,0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	SANT GERVASI
Amistós	4	CB ARGENTONA	0	I. JARQUE	M. MARTORI	B. FONT	À. LÓPEZ	P. PEIRÓ	"IÑAKI JARQUE (7), MARTÍ MARTORI (9), BIEL FONT (11), ÀLEX LÓPEZ (13), PAU PEIRÓ (24)"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0,0000000000	0	1	0,0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0,0000000000	0	2	0	0	1	0	SANT GERVASI
Amistós	4	CB ARGENTONA	0	I. JARQUE	I. JARQUE	M. MARTORI	À. LÓPEZ	A. JOSÉ HELGUIN	"IÑAKI JARQUE (7), IÑAKI JARQUE (7), MARTÍ MARTORI (9), ÀLEX LÓPEZ (13), ARMANDO JOSÉ HELGUIN (35)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SANT GERVASI
