Competition	Week	Team	Win	P1	P2	P3	P4	P5	Lineup	PTS_For	PTS_Agn	+/-	FTM_For	FTA_For	FTM_Agn	FTA_Agn	FOULS_Committed	FOULS_Drawn	TOV_For	TOunf_For	STL_For	BLK_For	TOV_Agn	TOunf_Agn	STL_Agn	BLK_Agn	Rim_FGM_For	Rim_FGA_For	Rim%_For	Rim_FGM_Agn	Rim_FGA_Agn	Rim%_Agn	Paint_FGM_For	Paint_FGA_For	Paint%_For	Paint_FGM_Agn	Paint_FGA_Agn	Paint%_Agn	MR_FGM_For	MR_FGA_For	MR%_For	MR_FGM_Agn	MR_FGA_Agn	MR%_Agn	Cor3_FGM_For	Cor3_FGA_For	Cor3%_For	Cor3_FGM_Agn	Cor3_FGA_Agn	Cor3%_Agn	ATB3_FGM_For	ATB3_FGA_For	ATB3%_For	ATB3_FGM_Agn	ATB3_FGA_Agn	ATB3%_Agn	OREB_For	DREB_For	AST_For	OREB_Agn	DREB_Agn	AST_Agn	Rival
Amistos	3	CB ARGENTONA	1	I. JARQUE	I. SANTOS	P. VILLAGRASA	P. PEIRÓ	A. BASTERRA	"IÑAKI JARQUE (7), IZAN SANTOS (16), POL VILLAGRASA (23), PAU PEIRÓ (24), AITOR BASTERRA (32)"	10	2	8	0	0	2	2	2	0	1	1	3	1	3	0	0	0	2	2	1,0000000000	0	1	0,0000000000	0	1	0,0000000000	0	0	0	0	0	0	0	1	0,0000000000	1	1	1,0000000000	0	0	0	1	1	1,0000000000	0	1	0,0000000000	0	2	5	1	1	0	MARISTES ADEMAR
Amistos	3	CB ARGENTONA	1	I. JARQUE	À. LÓPEZ	P. VILLAGRASA	P. PEIRÓ	A. BASTERRA	"IÑAKI JARQUE (7), ÀLEX LÓPEZ (13), POL VILLAGRASA (23), PAU PEIRÓ (24), AITOR BASTERRA (32)"	4	5	-1	1	2	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1,0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0,5000000000	1	2	0,5000000000	0	1	1	0	2	0	MARISTES ADEMAR
Amistos	3	CB ARGENTONA	1	I. JARQUE	I. JARQUE	B. FONT	À. LÓPEZ	A. BASTERRA	"IÑAKI JARQUE (7), IÑAKI JARQUE (7), BIEL FONT (11), ÀLEX LÓPEZ (13), AITOR BASTERRA (32)"	1	0	1	1	2	0	0	1	1	0	0	1	0	2	1	0	0	0	2	0,0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0,0000000000	0	0	0	0	2	0,0000000000	0	2	0,0000000000	2	2	0	0	3	0	MARISTES ADEMAR
Amistos	3	CB ARGENTONA	1	I. JARQUE	I. JARQUE	J. BORRAS	B. FONT	À. LÓPEZ	"IÑAKI JARQUE (7), IÑAKI JARQUE (7), JORDI BORRAS (8), BIEL FONT (11), ÀLEX LÓPEZ (13)"	0	2	-2	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1,0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0,0000000000	0	1	0,0000000000	0	0	0	1	1	0	MARISTES ADEMAR
Amistos	3	CB ARGENTONA	1	V. DOMINGO	I. JARQUE	J. BORRAS	B. FONT	À. LÓPEZ	"VÍCTOR DOMINGO (1), IÑAKI JARQUE (7), JORDI BORRAS (8), BIEL FONT (11), ÀLEX LÓPEZ (13)"	0	6	-6	0	0	3	4	3	0	2	1	1	1	1	0	1	1	0	3	0,0000000000	0	1	0,0000000000	0	1	0,0000000000	0	1	0,0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0,0000000000	1	1	1,0000000000	1	2	0	0	4	0	MARISTES ADEMAR
Amistos	3	CB ARGENTONA	1	V. DOMINGO	J. BORRAS	B. FONT	I. SANTOS	P. VILLAGRASA	"VÍCTOR DOMINGO (1), JORDI BORRAS (8), BIEL FONT (11), IZAN SANTOS (16), POL VILLAGRASA (23)"	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0,0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	MARISTES ADEMAR
Amistos	3	CB ARGENTONA	1	V. DOMINGO	B. FONT	I. SANTOS	P. VILLAGRASA	A. BASTERRA	"VÍCTOR DOMINGO (1), BIEL FONT (11), IZAN SANTOS (16), POL VILLAGRASA (23), AITOR BASTERRA (32)"	4	3	1	1	2	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0,3333333333	1	3	0,3333333333	1	2	1	0	1	0	MARISTES ADEMAR
Amistos	3	CB ARGENTONA	1	M. MARTORI	B. FONT	I. SANTOS	P. VILLAGRASA	A. BASTERRA	"MARTÍ MARTORI (9), BIEL FONT (11), IZAN SANTOS (16), POL VILLAGRASA (23), AITOR BASTERRA (32)"	15	2	13	3	5	2	2	2	3	1	0	4	0	5	1	1	0	5	6	0,8333333333	0	1	0,0000000000	1	1	1,0000000000	0	2	0,0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	1	0	MARISTES ADEMAR
Amistos	3	CB ARGENTONA	1	M. MARTORI	I. SANTOS	P. VILLAGRASA	P. PEIRÓ	A. BASTERRA	"MARTÍ MARTORI (9), IZAN SANTOS (16), POL VILLAGRASA (23), PAU PEIRÓ (24), AITOR BASTERRA (32)"	22	13	9	6	7	2	5	5	4	2	1	5	0	5	0	1	0	5	9	0,5555555556	3	5	0,6000000000	0	2	0,0000000000	1	1	1,0000000000	0	0	0	0	1	0,0000000000	1	1	1,0000000000	0	0	0	1	3	0,3333333333	1	2	0,5000000000	5	6	4	0	5	0	MARISTES ADEMAR
Amistos	3	CB ARGENTONA	1	I. JARQUE	M. MARTORI	I. SANTOS	P. PEIRÓ	A. BASTERRA	"IÑAKI JARQUE (7), MARTÍ MARTORI (9), IZAN SANTOS (16), PAU PEIRÓ (24), AITOR BASTERRA (32)"	0	2	-2	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0,0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	MARISTES ADEMAR
